Date,Poll,URL,Approve,Disapprove,Neutral/No Opinion,Sample Size,Rating
2025-01-23,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,56,40,4,,C+
2025-01-24,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,53,42,5,,C+
2025-01-27,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,43,5,,C+
2025-01-28,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,44,4,,C+
2025-01-29,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,45,3,,C+
2025-01-30,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,50,47,3,,C+
2025-01-31,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,45,3,,C+
2025-02-03,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,45,3,,C+
2025-02-04,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,45,3,,C+
2025-02-05,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,51,45,4,,C+
2025-02-06,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,51,45,4,,C+
2025-02-07,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,51,45,4,,C+
2025-02-10,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,45,3,,C+
2025-02-11,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,53,45,2,,C+
2025-02-12,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,53,45,2,,C+
2025-02-13,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,54,44,2,,C+
2025-02-14,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,54,44,2,,C+
2025-02-17,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,53,45,2,,C+
2025-02-18,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,52,46,2,,C+
2025-02-19,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,53,45,2,,C+
